Identifiant_de_l_etablissement,Etablissement,Libellé académie,Libellé département,Libellé commune,Secteur,Candidats au DNB Série générale,Note Brute Série générale Note ecrit
0132310R,COLLEGE GYPTIS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 09,PU,134,"10,9"
0132311S,COLLEGE LOUIS PASTEUR,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 09,PU,108,"9,9"
0132312T,COLLEGE ANDRE MALRAUX,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PU,213,"11,0"
0132313U,COLLEGE STEPHANE MALLARME,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PU,79,"8,5"
0132314V,COLLEGE JEAN GIONO,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PU,161,"9,8"
0132315W,COLLEGE CHARTREUX (AVENUE DES),AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 04,PU,118,"9,2"
0132318Z,COLLEGE ELIE COUTAREL,AIX-MARSEILLE,BOUCHES-DU-RHONE,ISTRES,PU,163,"11,0"
0132322D,COLLEGE PAUL ELUARD,AIX-MARSEILLE,BOUCHES-DU-RHONE,PORT DE BOUC,PU,114,"11,1"
0132323E,COLLEGE MAXIMILIEN ROBESPIERRE,AIX-MARSEILLE,BOUCHES-DU-RHONE,PORT ST LOUIS DU RHONE,PU,112,"9,4"
0132324F,COLLEGE LES GORGUETTES GILBERT RASTOIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,CASSIS,PU,161,"10,4"
0132325G,COLLEGE CAMPRA,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PU,115,"11,6"
0132326H,COLLEGE ALBERT CAMUS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MIRAMAS,PU,115,"11,5"
0132327J,COLLEGE MIRAMARIS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MIRAMAS,PU,87,"9,5"
0132401P,COLLEGE CHATEAU FORBIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 11,PU,106,"9,6"
0132402R,COLLEGE RUISSATEL (LE),AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 11,PU,198,"11,3"
0132403S,COLLEGE FRANCOIS VILLON,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 11,PU,86,"10,2"
0132404T,COLLEGE CLAIR SOLEIL,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14,PU,79,"8,8"
0132407W,COLLEGE JEAN MOULIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15,PU,75,"8,9"
0132408X,COLLEGE JULES FERRY,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15,PU,92,"8,1"
0132409Y,COLLEGE ALPHONSE DAUDET,AIX-MARSEILLE,BOUCHES-DU-RHONE,ISTRES,PU,123,"9,9"
0132411A,COLLEGE HENRI BOSCO,AIX-MARSEILLE,BOUCHES-DU-RHONE,VITROLLES,PU,171,"11,3"
0132412B,COLLEGE LOU GARLABAN,AIX-MARSEILLE,BOUCHES-DU-RHONE,AUBAGNE,PU,150,"9,6"
0132491M,COLLEGE ALEXANDRE DUMAS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14,PU,123,"7,9"
0132494R,COLLEGE AMANDEIRETS (LES),AIX-MARSEILLE,BOUCHES-DU-RHONE,CHATEAUNEUF LES MARTIGUES,PU,171,"10,0"
0132496T,COLLEGE HONORE DAUMIER,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARTIGUES,PU,99,"10,1"
0132497U,COLLEGE CARRAIRE (LA),AIX-MARSEILLE,BOUCHES-DU-RHONE,MIRAMAS,PU,99,"10,1"
0132561N,COLLEGE ANATOLE FRANCE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 06,PU,73,"8,9"
0132565T,COLLEGE JACQUES MONOD,AIX-MARSEILLE,BOUCHES-DU-RHONE,LES PENNES MIRABEAU,PU,158,"11,3"
0132568W,COLLEGE MIGNET,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PU,199,"11,5"
0132572A,COLLEGE AMPERE,AIX-MARSEILLE,BOUCHES-DU-RHONE,ARLES,PU,121,"8,9"
0132573B,COLLEGE GLANUM,AIX-MARSEILLE,BOUCHES-DU-RHONE,SAINT REMY DE PROVENCE,PU,139,"10,2"
0132634T,COLLEGE ANDRE MALRAUX,AIX-MARSEILLE,BOUCHES-DU-RHONE,FOS SUR MER,PU,195,"10,3"
0132730X,COLLEGE PYTHEAS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14,PU,107,"9,2"
0132732Z,COLLEGE ANDRE CHENIER,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12,PU,144,"11,9"
0132785G,COLLEGE ROSA PARKS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15,PU,103,"7,1"
0132786H,COLLEGE MATAGOTS (LES),AIX-MARSEILLE,BOUCHES-DU-RHONE,LA CIOTAT,PU,157,"10,3"
0132789L,COLLEGE PRIVE VIALA LACOSTE,AIX-MARSEILLE,BOUCHES-DU-RHONE,SALON DE PROVENCE,PR,147,"13,9"
0132833J,COLLEGE GEORGES BRASSENS,AIX-MARSEILLE,BOUCHES-DU-RHONE,BOUC BEL AIR,PU,148,"11,5"
0132834K,COLLEGE CHARLES RIEU,AIX-MARSEILLE,BOUCHES-DU-RHONE,SAINT MARTIN DE CRAU,PU,240,"11,2"
0132907P,COLLEGE PRIVE SEVIGNE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PR,175,"13,5"
0132908R,COLLEGE PRIVE YAVNE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PR,46,"11,7"
0132909S,COLLEGE PRIVE COURS BASTIDE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 06,PR,94,"13,2"
0132911U,COLLEGE PRIVE NOTRE DAME DE FRANCE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 06,PR,95,"14,7"
0132913W,COLLEGE PRIVE PROVENCE (DE),AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 08,PR,196,"15,9"
0132914X,COLLEGE PRIVE CLUNY,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 08,PR,185,"13,5"
0132915Y,COLLEGE PRIVE NATIVITE (LA),AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PR,155,"15,3"
0132917A,COLLEGE PRIVE SACRE COEUR (LE),AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PR,238,"14,0"
0132921E,COLLEGE PRIVE STE MARIE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARIGNANE,PR,213,"14,4"
0132923G,COLLEGE PRIVE CHEVREUL BLANCARDE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 04,PR,123,"14,2"
0132946G,COLLEGE PRIVE ST CHARLES CAMAS,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 05,PR,105,"12,5"
0132947H,COLLEGE PRIVE LACORDAIRE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 13,PR,171,"15,4"
0132949K,COLLEGE PRIVE ST JOSEPH DE LA MADELEINE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 04,PR,119,"13,5"
0132950L,COLLEGE PRIVE SACRE COEUR (DU),AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 01,PR,45,"11,2"
0132951M,COLLEGE PRIVE STE TRINITE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 09,PR,117,"13,9"
0132954R,COLLEGE PRIVE STE MARIE - BLANCARDE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 04,PR,82,"14,0"
0132955S,COLLEGE PRIVE STE CATHERINE DE SIENNE,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PR,63,"13,5"
0132956T,COLLEGE PRIVE TOUR SAINTE (DE),AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14,PR,73,"11,1"
0132958V,COLLEGE PRIVE ST JOSEPH LES MARISTES,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 06,PR,117,"13,1"
0132973L,COLLEGE NINA SIMONE,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PU,134,"12,5"
0133016H,COLLEGE LOUIS LEPRINCE RINGUET,AIX-MARSEILLE,BOUCHES-DU-RHONE,LA FARE LES OLIVIERS,PU,164,"11,7"
0133114P,COLLEGE ROGER CARCASSONNE,AIX-MARSEILLE,BOUCHES-DU-RHONE,PELISSANNE,PU,135,"11,8"
0133115R,COLLEGE MARIE MAURON,AIX-MARSEILLE,BOUCHES-DU-RHONE,CABRIES,PU,141,"12,7"
0133196D,COLLEGE SIMONE DE BEAUVOIR,AIX-MARSEILLE,BOUCHES-DU-RHONE,VITROLLES,PU,154,"11,7"
0133203L,COLLEGE LOUIS PASTEUR,AIX-MARSEILLE,BOUCHES-DU-RHONE,ISTRES,PU,127,"11,0"
0133243E,COLLEGE FONT D AURUMY,AIX-MARSEILLE,BOUCHES-DU-RHONE,FUVEAU,PU,194,"11,9"
0133278T,COLLEGE PRIVE NOTRE DAME DE LA MAJOR,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 02,PR,41,"10,4"
0133287C,COLLEGE GARRIGUES (LES),AIX-MARSEILLE,BOUCHES-DU-RHONE,ROGNES,PU,123,"10,6"
0133335E,COLLEGE PRIVE ST AUGUSTIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,CARNOUX EN PROVENCE,PR,112,"14,1"
0133351X,COLLEGE JEAN DE LA FONTAINE,AIX-MARSEILLE,BOUCHES-DU-RHONE,GEMENOS,PU,177,"12,1"
0133352Y,COLLEGE CAMILLE CLAUDEL,AIX-MARSEILLE,BOUCHES-DU-RHONE,VITROLLES,PU,95,"9,6"
0133353Z,COLLEGE ROQUEPERTUSE,AIX-MARSEILLE,BOUCHES-DU-RHONE,VELAUX,PU,165,"12,4"
0133374X,COLLEGE PRIVE AMI,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 06,PR,54,"13,7"
0133381E,COLLEGE PETIT PRINCE (LE),AIX-MARSEILLE,BOUCHES-DU-RHONE,GIGNAC LA NERTHE,PU,143,"10,3"
0133397X,COLLEGE PRIVE CHESNERAIE (DE LA),AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PR,110,"14,2"
0133445Z,COLLEGE PRIVE VITAGLIANO,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 04,PR,20,"6,6"
0133449D,COLLEGE PIERRE MATRAJA,AIX-MARSEILLE,BOUCHES-DU-RHONE,SAUSSET LES PINS,PU,203,"11,1"
0133451F,COLLEGE JEAN ZAY,AIX-MARSEILLE,BOUCHES-DU-RHONE,ROUSSET,PU,134,"10,3"
0133490Y,COLLEGE YVES MONTAND,AIX-MARSEILLE,BOUCHES-DU-RHONE,ALLAUCH,PU,233,"11,9"
0133492A,COLLEGE JEAN BERNARD,AIX-MARSEILLE,BOUCHES-DU-RHONE,SALON DE PROVENCE,PU,158,"11,1"
0133494C,COLLEGE PRIVE HAMASKAINE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12,PR,26,"12,2"
0133510V,COLLEGE UBELKA,AIX-MARSEILLE,BOUCHES-DU-RHONE,AURIOL,PU,183,"12,3"
0133544G,COLLEGE PRIVE ORT LEON BRAMSON,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 10,PR,31,"10,4"
0133621R,COLLEGE FRANCOISE DOLTO,AIX-MARSEILLE,BOUCHES-DU-RHONE,SAINT ANDIOL,PU,159,"11,8"
0133665N,COLLEGE OLYMPE DE GOUGES,AIX-MARSEILLE,BOUCHES-DU-RHONE,PLAN DE CUQUES,PU,138,"11,6"
0133765X,COLLEGE MARC FERRANDI,AIX-MARSEILLE,BOUCHES-DU-RHONE,SEPTEMES LES VALLONS,PU,107,"8,7"
0133775H,COLLEGE MARIE LAURENCIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 14,PU,47,"8,2"
0133788X,COLLEGE JEAN CLAUDE IZZO,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 02,PU,114,"8,8"
0133789Y,COLLEGE FRANCOIS MITTERRAND,AIX-MARSEILLE,BOUCHES-DU-RHONE,SIMIANE COLLONGUE,PU,112,"12,1"
0133790Z,COLLEGE LUCIE AUBRAC,AIX-MARSEILLE,BOUCHES-DU-RHONE,EYGUIERES,PU,135,"11,9"
0133866G,COLLEGE PRIVE GSBE,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 09,PR,36,"13,3"
0133881Y,COLLEGE GERMAINE TILLION,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 12,PU,138,"9,9"
0133986M,COLLEGE PRIVE IBN KHALDOUN,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 15,PR,77,"11,7"
0133992U,COLLEGE LOUIS PHILIBERT,AIX-MARSEILLE,BOUCHES-DU-RHONE,LE PUY STE REPARADE,PU,119,"11,1"
0134022B,COLLEGE LOUISE MICHEL,AIX-MARSEILLE,BOUCHES-DU-RHONE,MARSEILLE 10,PU,103,"9,2"
0134094E,COLLEGE SOPHIE GERMAIN,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PU,174,"11,2"
0134245U,COLLEGE PRIVE NOTRE DAME,AIX-MARSEILLE,BOUCHES-DU-RHONE,MIRAMAS,PR,51,"12,6"
0134342Z,COLLEGE PRIVE LA NATIVITE STE VICTOIRE,AIX-MARSEILLE,BOUCHES-DU-RHONE,AIX EN PROVENCE,PR,87,"15,8"
0140006F,COLLEGE CHARLES LETOT,NORMANDIE,CALVADOS,BAYEUX,PU,159,"10,9"
0140008H,COLLEGE VAL DE SOULEUVRE,NORMANDIE,CALVADOS,SOULEUVRE EN BOCAGE,PU,79,"9,7"
0140015R,COLLEGE PASTEUR,NORMANDIE,CALVADOS,CAEN,PU,105,"14,5"
0140024A,COLLEGE VILLEY DESMESERETS,NORMANDIE,CALVADOS,CAEN,PU,110,"12,5"
0140025B,COLLEGE HASTINGS,NORMANDIE,CALVADOS,CAEN,PU,148,"11,6"
0140038R,COLLEGE LES SOURCES D'AURE,NORMANDIE,CALVADOS,CAUMONT SUR AURE,PU,70,"12,2"
0140041U,COLLEGE QUINTEFEUILLE,NORMANDIE,CALVADOS,COURSEULLES SUR MER,PU,86,"13,1"
0140042V,COLLEGE JEAN DE LA VARENDE,NORMANDIE,CALVADOS,CREULLY SUR SEULLES,PU,83,"12,8"
0140049C,COLLEGE CLEMENT MAROT,NORMANDIE,CALVADOS,DOUVRES LA DELIVRANDE,PU,127,"11,7"
0140050D,COLLEGE LOUIS PERGAUD,NORMANDIE,CALVADOS,DOZULE,PU,81,"9,7"
0140051E,COLLEGE PAUL VERLAINE,NORMANDIE,CALVADOS,EVRECY,PU,134,"12,3"
0140067X,COLLEGE FERNAND LEGER,NORMANDIE,CALVADOS,LIVAROT PAYS D AUGE,PU,38,"11,0"
0140068Y,COLLEGE GUY DE MAUPASSANT,NORMANDIE,CALVADOS,SAINT MARTIN DE FONTENAY,PU,151,"11,6"
0140069Z,COLLEGE ALFRED KASTLER,NORMANDIE,CALVADOS,MERVILLE FRANCEVILLE PLAGE,PU,103,"11,8"
0140070A,COLLEGE BORIS VIAN,NORMANDIE,CALVADOS,MEZIDON VALLEE D AUGE,PU,90,"9,9"
0140072C,COLLEGE JEAN CASTEL,NORMANDIE,CALVADOS,ARGENCES,PU,134,"10,1"
0140073D,COLLEGE LOTTIN DE LAVAL,NORMANDIE,CALVADOS,ORBEC,PU,61,"9,7"
0140075F,COLLEGE GUSTAVE FLAUBERT,NORMANDIE,CALVADOS,PONT L EVEQUE,PU,101,"11,6"
0140077H,COLLEGE PIERRE ET MARIE CURIE,NORMANDIE,CALVADOS,POTIGNY,PU,67,"10,8"
0140079K,COLLEGE JEAN VILAR,NORMANDIE,CALVADOS,NOUES DE SIENNE,PU,58,"11,0"
0140081M,COLLEGE DU BOIS D'ORCEAU,NORMANDIE,CALVADOS,TILLY SUR SEULLES,PU,71,"12,2"
0140082N,COLLEGE OCTAVE MIRBEAU,NORMANDIE,CALVADOS,TREVIERES,PU,34,"10,2"
0140086T,COLLEGE ANNE FRANK,NORMANDIE,CALVADOS,VALDALLIERE,PU,48,"10,6"
0140087U,COLLEGE JACQUES PREVERT,NORMANDIE,CALVADOS,VERSON,PU,149,"12,0"
0140088V,COLLEGE SIMONE VEIL,NORMANDIE,CALVADOS,VILLERS BOCAGE,PU,132,"10,9"
0141135H,COLLEGE JULES MICHELET,NORMANDIE,CALVADOS,LISIEUX,PU,139,"11,1"
0141136J,COLLEGE PIERRE VARIGNON,NORMANDIE,CALVADOS,HEROUVILLE ST CLAIR,PU,46,"9,6"
0141159J,COLLEGE PRIVE INSTITUT SAINT PIERRE,NORMANDIE,CALVADOS,CAEN,PR,137,"13,3"
0141160K,COLLEGE PRIVE SAINT JOSEPH,NORMANDIE,CALVADOS,CAEN,PR,213,"12,8"
0141163N,COLLEGE PRIVE SAINT PAUL,NORMANDIE,CALVADOS,CAEN,PR,144,"13,1"
0141166S,COLLEGE PRIVE SAINT-MICHEL,NORMANDIE,CALVADOS,HEROUVILLE ST CLAIR,PR,47,"8,9"
0141167T,COLLEGE PRIVE INSTITUTION SAINTE TRINITE,NORMANDIE,CALVADOS,FALAISE,PR,59,"12,0"
0141168U,COLLEGE PRIVE NOTRE DAME SAINT JOSEPH,NORMANDIE,CALVADOS,HONFLEUR,PR,23,"10,7"
0141171X,COLLEGE PRIVE NOTRE DAME,NORMANDIE,CALVADOS,ORBEC,PR,32,"10,9"
0141212S,COLLEGE PRIVE SACRE COEUR,NORMANDIE,CALVADOS,CAEN,PR,102,"11,6"
0141216W,COLLEGE PRIVE MAITRISE NOTRE-DAME,NORMANDIE,CALVADOS,DOUVRES LA DELIVRANDE,PR,158,"12,9"
0141219Z,COLLEGE PRIVE ST JEAN-BAPTISTE DE LA SALLE,NORMANDIE,CALVADOS,LISIEUX,PR,39,"10,2"
0141226G,COLLEGE PRIVE SAINTE THERESE,NORMANDIE,CALVADOS,SAINT PIERRE EN AUGE,PR,79,"12,8"
0141228J,COLLEGE PRIVE NOTRE DAME,NORMANDIE,CALVADOS,LE HOM,PR,54,"11,7"
0141256P,COLLEGE GISELE GUILLEMOT,NORMANDIE,CALVADOS,MONDEVILLE,PU,126,"10,1"
0141257R,COLLEGE DU VAL D'AURE,NORMANDIE,CALVADOS,ISIGNY SUR MER,PU,39,"10,3"
0141258S,COLLEGE DUMONT D'URVILLE,NORMANDIE,CALVADOS,CONDE EN NORMANDIE,PU,72,"10,0"
0141268C,COLLEGE GUILLAUME DE NORMANDIE,NORMANDIE,CALVADOS,CAEN,PU,147,"8,9"
0141270E,COLLEGE PAUL ELUARD,NORMANDIE,CALVADOS,DIVES SUR MER,PU,83,"8,1"
0141271F,COLLEGE JEAN MONNET,NORMANDIE,CALVADOS,OUISTREHAM,PU,131,"11,1"
0141272G,COLLEGE JACQUES PREVERT,NORMANDIE,CALVADOS,SAINT PIERRE EN AUGE,PU,73,"9,1"
0141273H,COLLEGE CHARLES MOZIN,NORMANDIE,CALVADOS,TROUVILLE SUR MER,PU,55,"9,2"
0141312A,COLLEGE CINGAL,NORMANDIE,CALVADOS,BRETTEVILLE SUR LAIZE,PU,119,"10,0"
0141313B,COLLEGE HENRI BRUNET,NORMANDIE,CALVADOS,CAEN,PU,96,"12,3"
0141315D,COLLEGE PIERRE SIMON DE LAPLACE,NORMANDIE,CALVADOS,LISIEUX,PU,59,"10,2"
0141363F,COLLEGE NELSON MANDELA,NORMANDIE,CALVADOS,HEROUVILLE ST CLAIR,PU,77,"8,9"
0141553M,COLLEGE STEPHEN HAWKING,NORMANDIE,CALVADOS,FLEURY SUR ORNE,PU,120,"11,7"
0141554N,COLLEGE DUNOIS,NORMANDIE,CALVADOS,CAEN,PU,109,"9,7"
0141596J,COLLEGE JEAN MOULIN,NORMANDIE,CALVADOS,CAEN,PU,130,"12,5"
0141597K,COLLEGE FERNAND LECHANTEUR,NORMANDIE,CALVADOS,CAEN,PU,148,"10,8"
0141641H,COLLEGE ROGER BELLAIR,NORMANDIE,CALVADOS,THURY HARCOURT LE HOM,PU,138,"11,4"
0141642J,COLLEGE DE LA MINE,NORMANDIE,CALVADOS,LE MOLAY LITTRY,PU,60,"9,2"
0141662F,COLLEGE CHARLES LEMAITRE,NORMANDIE,CALVADOS,LES MONTS D AUNAY,PU,84,"11,5"
0141684E,COLLEGE MONTGOMERI,NORMANDIE,CALVADOS,TROARN,PU,112,"10,6"
0141762P,COLLEGE ALAIN CHARTIER,NORMANDIE,CALVADOS,BAYEUX,PU,116,"10,4"
0141763R,COLLEGE ANDRE MAUROIS,NORMANDIE,CALVADOS,DEAUVILLE,PU,72,"11,0"
0141764S,COLLEGE DES DOUITS,NORMANDIE,CALVADOS,FALAISE,PU,154,"12,0"
0141765T,COLLEGE ALPHONSE ALLAIS,NORMANDIE,CALVADOS,HONFLEUR,PU,106,"9,1"
0141766U,COLLEGE MARCEL GAMBIER,NORMANDIE,CALVADOS,LISIEUX,PU,157,"10,6"
0141767V,COLLEGE MAUPAS,NORMANDIE,CALVADOS,VIRE NORMANDIE,PU,81,"11,9"
0141810S,COLLEGE PRIVE SAINT PIERRE,NORMANDIE,CALVADOS,CAEN,PR,152,"13,7"
0141812U,COLLEGE PRIVE SAINT LOUIS,NORMANDIE,CALVADOS,CABOURG,PR,37,"12,3"
0141816Y,COLLEGE JACQUES MONOD,NORMANDIE,CALVADOS,CAEN,PU,113,"11,4"
0141860W,COLLEGE PRIVE INSTITUTION JEANNE D ARC,NORMANDIE,CALVADOS,BAYEUX,PR,151,"12,2"
0141862Y,COLLEGE PRIVE NOTRE DAME,NORMANDIE,CALVADOS,LISIEUX,PR,131,"13,0"
0141863Z,COLLEGE PRIVE MARIE-JOSEPH,NORMANDIE,CALVADOS,TROUVILLE SUR MER,PR,154,"12,2"
0141864A,COLLEGE PRIVE SAINT-JEAN-EUDES,NORMANDIE,CALVADOS,VIRE NORMANDIE,PR,41,"11,5"
0141940H,COLLEGE LANGEVIN WALLON,NORMANDIE,CALVADOS,BLAINVILLE SUR ORNE,PU,73,"10,6"
0141964J,COLLEGE EMILE ZOLA,NORMANDIE,CALVADOS,GIBERVILLE,PU,96,"10,4"
0142145F,COLLEGE LE VAL DE VIRE,NORMANDIE,CALVADOS,VIRE NORMANDIE,PU,60,"10,7"
0142271T,COLLEGE LEOPOLD SEDAR SENGHOR,NORMANDIE,CALVADOS,IFS,PU,155,"11,3"
0150005Z,COLLEGE LA JORDANNE,CLERMONT-FERRAND,CANTAL,AURILLAC,PU,126,"10,7"
0150010E,COLLEGE LOUIS PASTEUR,CLERMONT-FERRAND,CANTAL,CHAUDES AIGUES,PU,28,"10,5"
0150013H,COLLEGE DU VAL DE CERE,CLERMONT-FERRAND,CANTAL,LAROQUEBROU,PU,37,"10,5"
0150014J,COLLEGE PIERRE GALERY,CLERMONT-FERRAND,CANTAL,MASSIAC,PU,23,"12,7"
0150016L,COLLEGE DU MERIDIEN,CLERMONT-FERRAND,CANTAL,MAURIAC,PU,37,"12,3"
0150018N,COLLEGE DES PORTES DU MIDI,CLERMONT-FERRAND,CANTAL,MAURS,PU,47,"11,2"
0150020R,COLLEGE MARCELLIN BOULE,CLERMONT-FERRAND,CANTAL,MONTSALVY,PU,38,"11,0"
0150023U,COLLEGE GEORGES POMPIDOU,CLERMONT-FERRAND,CANTAL,MURAT,PU,30,"12,7"
0150027Y,COLLEGE GEORGES BATAILLE,CLERMONT-FERRAND,CANTAL,RIOM ES MONTAGNES,PU,37,"10,5"
0150028Z,COLLEGE HENRI MONDOR,CLERMONT-FERRAND,CANTAL,SAINT CERNIN,PU,36,"11,9"
0150029A,COLLEGE BLAISE PASCAL,CLERMONT-FERRAND,CANTAL,SAINT FLOUR,PU,92,"11,2"
0150033E,COLLEGE JEAN DE LA FONTAINE,CLERMONT-FERRAND,CANTAL,VIC SUR CERE,PU,40,"11,7"
0150034F,COLLEGE GEORGES BRASSENS,CLERMONT-FERRAND,CANTAL,YDES,PU,46,"9,9"
0150053B,COLLEGE PRIVE SAINT JOSEPH LA PRESENTATION,CLERMONT-FERRAND,CANTAL,SAINT FLOUR,PR,35,"12,3"
0150581A,COLLEGE JEAN DAUZIE,CLERMONT-FERRAND,CANTAL,SAINT MAMET LA SALVETAT,PU,67,"12,6"
0150639N,COLLEGE JEANNE DE LA TREILHE,CLERMONT-FERRAND,CANTAL,AURILLAC,PU,77,"13,8"
0150647X,COLLEGE JULES FERRY,CLERMONT-FERRAND,CANTAL,AURILLAC,PU,116,"12,4"
0150666T,COLLEGE LA VIGIERE,CLERMONT-FERRAND,CANTAL,SAINT FLOUR,PU,42,"12,1"
0150708N,COLLEGE PRIVE GERBERT,CLERMONT-FERRAND,CANTAL,AURILLAC,PR,95,"12,1"
0150729L,COLLEGE LA PONETIE,CLERMONT-FERRAND,CANTAL,AURILLAC,PU,105,"11,3"
0160001P,COLLEGE DE L OSME,POITIERS,CHARENTE,AIGRE,PU,31,"10,0"
0160005U,COLLEGE JULES MICHELET,POITIERS,CHARENTE,ANGOULEME,PU,75,"11,5"
0160012B,COLLEGE ALFRED DE VIGNY,POITIERS,CHARENTE,COTEAUX DU BLANZACAIS,PU,38,"12,6"
0160015E,COLLEGE THEODORE RANCY,POITIERS,CHARENTE,CHALAIS,PU,35,"9,4"
0160016F,COLLEGE ARGENTOR,POITIERS,CHARENTE,CHAMPAGNE MOUTON,PU,22,"12,4"
0160024P,COLLEGE ELISABETH ET ROBERT BADINTER,POITIERS,CHARENTE,LA COURONNE,PU,121,"9,4"
0160027T,COLLEGE JEAN LARTAUT,POITIERS,CHARENTE,JARNAC,PU,96,"11,2"
0160029V,COLLEGE ALFRED RENOLEAU,POITIERS,CHARENTE,MANSLE LES FONTAINES,PU,60,"9,7"
0160030W,COLLEGE FRANCOIS MITTERRAND,POITIERS,CHARENTE,MONTBRON,PU,42,"12,1"
0160031X,COLLEGE LE PETIT MAIRAT,POITIERS,CHARENTE,MONTEMBOEUF,PU,32,"11,4"
0160032Y,COLLEGE ANTOINE DELAFONT,POITIERS,CHARENTE,MONTMOREAU,PU,40,"11,8"
0160034A,COLLEGE CLAUDIE HAIGNERE,POITIERS,CHARENTE,ROUILLAC,PU,84,"10,3"
0160039F,COLLEGE VAL DE CHARENTE,POITIERS,CHARENTE,RUFFEC,PU,52,"11,2"
0160040G,COLLEGE EUGENE DELACROIX,POITIERS,CHARENTE,SAINT AMANT DE BOIXE,PU,79,"11,8"
0160042J,COLLEGE FONT-BELLE,POITIERS,CHARENTE,SEGONZAC,PU,77,"11,5"
0160043K,COLLEGE HENRI MARTIN,POITIERS,CHARENTE,VILLEBOIS LAVALETTE,PU,74,"11,4"
0160050T,COLLEGE JULES VERNE,POITIERS,CHARENTE,ANGOULEME,PU,102,"11,0"
0160061E,COLLEGE PRIVE SAINTE MARTHE-CHAVAGNES,POITIERS,CHARENTE,ANGOULEME,PR,143,"13,4"
0160075V,COLLEGE PRIVE SAINT-PIERRE,POITIERS,CHARENTE,JARNAC,PR,28,"11,3"
